epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
184,11212.1,1.14897,0.73228,0.89907,0.78471,0.52238,0.61618,0.36839,1.32213,0.86756,0.95098,0.0009415,0.0009415,0.0009415
185,11273.1,1.1472,0.73785,0.89978,0.7794,0.52505,0.61583,0.36819,1.32155,0.86714,0.95092,0.000892,0.000892,0.000892
186,11333.7,1.13387,0.72026,0.8964,0.77778,0.52365,0.61515,0.3677,1.32227,0.86869,0.95116,0.0008425,0.0008425,0.0008425
187,11394.8,1.1454,0.72844,0.89882,0.77674,0.52412,0.61597,0.36823,1.32152,0.86894,0.95111,0.000793,0.000793,0.000793
188,11455.9,1.14197,0.72765,0.89699,0.77311,0.52458,0.61589,0.36724,1.32217,0.86917,0.95131,0.0007435,0.0007435,0.0007435
189,11516.7,1.13889,0.73011,0.89721,0.77264,0.52319,0.61534,0.36758,1.32194,0.87061,0.95152,0.000694,0.000694,0.000694
190,11577.9,1.13633,0.7224,0.89707,0.77122,0.52412,0.61576,0.36748,1.32282,0.8687,0.95138,0.0006445,0.0006445,0.0006445
191,11638.7,1.12296,0.71852,0.89532,0.77205,0.52458,0.61593,0.36792,1.3235,0.86931,0.9516,0.000595,0.000595,0.000595
192,11697.7,1.09479,0.70106,0.88961,0.77463,0.52597,0.61629,0.36803,1.32364,0.86936,0.95192,0.0005455,0.0005455,0.0005455
193,11756.7,1.09082,0.69233,0.88853,0.77748,0.52597,0.6164,0.36754,1.32402,0.86849,0.9523,0.000496,0.000496,0.000496
194,11815.4,1.09653,0.692,0.88707,0.77513,0.52505,0.61585,0.36763,1.32461,0.86911,0.95237,0.0004465,0.0004465,0.0004465
195,11874.5,1.09404,0.69148,0.88695,0.77202,0.52644,0.61509,0.36691,1.32614,0.87245,0.9526,0.000397,0.000397,0.000397
196,11933.6,1.08274,0.68411,0.88636,0.77326,0.52551,0.61527,0.36643,1.32599,0.87006,0.95292,0.0003475,0.0003475,0.0003475
