epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2630.53,1.47234,1.02972,0.99141,0.7556,0.49814,0.59759,0.35273,1.35141,0.91857,0.96883,0.007921,0.007921,0.007921
44,2691.49,1.45879,1.01907,0.98622,0.74964,0.50093,0.5958,0.34797,1.36851,0.96474,0.97767,0.0078715,0.0078715,0.0078715
45,2752.71,1.45955,1.01461,0.98407,0.78287,0.4782,0.58877,0.34623,1.35863,0.9185,0.97282,0.007822,0.007822,0.007822
46,2813.78,1.45684,1.01495,0.98629,0.79104,0.48794,0.59108,0.34922,1.35375,0.92449,0.96981,0.0077725,0.0077725,0.0077725
47,2875.21,1.46201,1.019,0.9881,0.76564,0.49165,0.59545,0.34912,1.3549,0.90811,0.96769,0.007723,0.007723,0.007723
48,2936.34,1.45356,1.01352,0.98023,0.747,0.50232,0.58891,0.34838,1.32874,0.93187,0.95979,0.0076735,0.0076735,0.0076735
49,2997.03,1.43584,0.99754,0.98264,0.74759,0.49583,0.58969,0.34728,1.34409,0.92145,0.96367,0.007624,0.007624,0.007624
50,3057.64,1.43863,0.99939,0.98149,0.77731,0.49814,0.59997,0.35001,1.34713,0.91549,0.96257,0.0075745,0.0075745,0.0075745
51,3118.67,1.44586,1.00374,0.9791,0.77429,0.50757,0.60215,0.3577,1.33863,0.89514,0.95988,0.007525,0.007525,0.007525
52,3179.42,1.44059,1.00168,0.9804,0.74999,0.50696,0.60165,0.35714,1.32065,0.90507,0.95778,0.0074755,0.0074755,0.0074755
53,3240.49,1.43122,0.99163,0.97739,0.7628,0.49583,0.59701,0.35417,1.32849,0.89595,0.95704,0.007426,0.007426,0.007426
54,3301.3,1.42706,0.9895,0.9772,0.76354,0.50371,0.60432,0.35726,1.34402,0.8898,0.9652,0.0073765,0.0073765,0.0073765
55,3361.97,1.43184,0.99692,0.98046,0.79052,0.4884,0.59921,0.35059,1.34442,0.912,0.96566,0.007327,0.007327,0.007327
56,3422.82,1.4256,0.98617,0.97645,0.77083,0.50139,0.59597,0.35429,1.32784,0.89145,0.96306,0.0072775,0.0072775,0.0072775
57,3483.92,1.42812,0.99167,0.97767,0.78348,0.48933,0.59578,0.35726,1.32379,0.89728,0.95473,0.007228,0.007228,0.007228
58,3544.49,1.42398,0.98328,0.97794,0.77333,0.50162,0.60052,0.35543,1.33912,0.91228,0.96167,0.0071785,0.0071785,0.0071785
59,3605.61,1.41222,0.97027,0.97147,0.74898,0.50652,0.60242,0.35568,1.34689,0.90499,0.96765,0.007129,0.007129,0.007129
60,3666.53,1.40875,0.97185,0.96768,0.74293,0.50669,0.59829,0.35593,1.33011,0.88422,0.95531,0.0070795,0.0070795,0.0070795
61,3727.45,1.41991,0.98225,0.97132,0.76979,0.50881,0.60629,0.35947,1.33515,0.90561,0.96643,0.00703,0.00703,0.00703
62,3788.41,1.40674,0.964,0.96961,0.73912,0.51716,0.61082,0.36335,1.32631,0.88566,0.95831,0.0069805,0.0069805,0.0069805
63,3849.46,1.39635,0.96353,0.96978,0.77033,0.50092,0.60208,0.3595,1.31628,0.88914,0.95146,0.006931,0.006931,0.006931
64,3910.58,1.40066,0.95702,0.96725,0.78177,0.49861,0.60501,0.35891,1.32043,0.91056,0.96149,0.0068815,0.0068815,0.0068815
65,3971.75,1.40072,0.95859,0.97133,0.73758,0.52146,0.60883,0.36273,1.31457,0.8932,0.95907,0.006832,0.006832,0.006832
66,4032.55,1.40086,0.96015,0.96824,0.73217,0.51479,0.60726,0.36383,1.318,0.89058,0.95553,0.0067825,0.0067825,0.0067825
67,4092.61,1.40133,0.95199,0.9663,0.76397,0.51067,0.61478,0.36255,1.31427,0.89504,0.95528,0.006733,0.006733,0.006733
68,4152.94,1.39625,0.96202,0.96569,0.75026,0.51252,0.61227,0.36641,1.31488,0.87737,0.95857,0.0066835,0.0066835,0.0066835
69,4213.49,1.38265,0.94299,0.96668,0.79822,0.49629,0.61036,0.3621,1.3197,0.88414,0.95788,0.006634,0.006634,0.006634
70,4274.02,1.38515,0.94659,0.96525,0.80488,0.4949,0.60801,0.36645,1.30629,0.88114,0.95156,0.0065845,0.0065845,0.0065845
71,4334.46,1.38605,0.94401,0.96313,0.813,0.49,0.60886,0.36865,1.30163,0.86937,0.95058,0.006535,0.006535,0.006535
72,4394.85,1.38482,0.94923,0.9646,0.77091,0.50974,0.61409,0.36763,1.30604,0.86421,0.95679,0.0064855,0.0064855,0.0064855
73,4455.52,1.39176,0.944,0.96267,0.76333,0.52507,0.6141,0.3675,1.29801,0.86828,0.95217,0.006436,0.006436,0.006436
74,4516.16,1.37529,0.93477,0.96016,0.75366,0.51577,0.61478,0.36423,1.31978,0.88225,0.95822,0.0063865,0.0063865,0.0063865
75,4577.22,1.37803,0.9384,0.96233,0.77145,0.51438,0.61271,0.36286,1.30423,0.88358,0.95725,0.006337,0.006337,0.006337
76,4638.05,1.37719,0.93585,0.96128,0.78951,0.50105,0.61088,0.36456,1.30356,0.86959,0.95303,0.0062875,0.0062875,0.0062875
77,4698.71,1.36826,0.9316,0.95662,0.78642,0.50464,0.61055,0.36246,1.31233,0.87297,0.95617,0.006238,0.006238,0.006238
78,4759.1,1.36844,0.9305,0.96157,0.7627,0.51345,0.61194,0.3646,1.29754,0.8714,0.95052,0.0061885,0.0061885,0.0061885
79,4819.91,1.37125,0.92122,0.95575,0.7631,0.52319,0.61661,0.36907,1.29538,0.86261,0.94942,0.006139,0.006139,0.006139
80,4880.45,1.37041,0.92963,0.95915,0.7503,0.51206,0.61,0.36461,1.30819,0.85766,0.95112,0.0060895,0.0060895,0.0060895
81,4941.01,1.35798,0.91582,0.95379,0.73542,0.52783,0.61403,0.36701,1.30397,0.87893,0.95019,0.00604,0.00604,0.00604
